id,problem,answerId,categoryId,proficiencyId,options,type,taskOrder,taskType
8f014b71-6535-49a4-8cba-3f5a483f4473,Listen to the audio and repeat the phrase,3a9d671c-c2f8-4260-9ec4-109d5495d7ef,38678eeb-84b1-4c52-a836-87d19ad00f5b,7a08832d-3517-4fe9-9bdb-dac02091ba07,7bb93e96-6421-4108-9bd7-1b80c59db997,AUDIO,2,course
2d494166-7d92-4e74-910f-18e7aaefd7d2,Listen to the audio and repeat the phrase,b100ca29-fa3d-4334-9d99-39bd07d6d7ba,38678eeb-84b1-4c52-a836-87d19ad00f5b,7a08832d-3517-4fe9-9bdb-dac02091ba07,7bef9272-92a0-47a4-a9a8-d450da24abbf,AUDIO,3,course
691f000c-7cde-4532-b088-65b30fdd6271,Listen to the audio and repeat the phrase,2e377da6-4dd3-44e1-8821-109c9a16a599,38678eeb-84b1-4c52-a836-87d19ad00f5b,7a08832d-3517-4fe9-9bdb-dac02091ba07,730f2ad7-519f-4e82-98e8-91f255797632,AUDIO,4,course
65cd2a95-c8c5-4f9c-b7ed-9ec4d1aa422f,Identify the correct pronunciation for the image below,2e377da6-4dd3-44e1-8821-109c9a16a599,38678eeb-84b1-4c52-a836-87d19ad00f5b,7a08832d-3517-4fe9-9bdb-dac02091ba07,64bfb79f-6db8-4200-a9df-11c995155934,IMAGE_OPTIONS,5,course
d73559a3-71e2-4bc8-8bb8-580a6ec97bef,Listen to the audio and repeat the phrase,9edbdc20-d7ad-4d4f-8b06-e9ecd0d3027f,38678eeb-84b1-4c52-a836-87d19ad00f5b,7a08832d-3517-4fe9-9bdb-dac02091ba07,cc78da3b-fb58-4a5b-847c-e5ba3a4e9398,AUDIO,6,course
2db6aa62-ea58-4a5b-8482-2c199226187b,Listen to the audio and repeat the phrase,14a5d9be-708b-42ee-b61c-239f7477ef51,38678eeb-84b1-4c52-a836-87d19ad00f5b,7a08832d-3517-4fe9-9bdb-dac02091ba07,559aa720-a3d9-4c23-af92-e1c5ef8ee362,AUDIO,7,course
e63eca76-efb8-42a0-896f-86459085f150,Listen to the audio and repeat the phrase,f44280fd-5dfb-40eb-b8f3-833d95f3a910,97b9e4d4-a3d6-4cf5-abaf-8206cd780308,7a08832d-3517-4fe9-9bdb-dac02091ba07,d68d0893-248a-4074-af79-5172d5b61ba3,AUDIO,1,course
6a936db9-844c-4669-8d7f-b041e0d6951a,Listen to the audio and repeat the phrase,d7152f7a-f35a-46f1-b11e-0151cd88bf1b,97b9e4d4-a3d6-4cf5-abaf-8206cd780308,7a08832d-3517-4fe9-9bdb-dac02091ba07,c75a280e-9c17-4faf-9c64-cd0aa8f5478d,AUDIO,2,course
f86aa200-8e8f-4b42-a2e8-eda6576d8bd4,Listen to the audio and repeat the phrase,d5b6a3db-0b86-4f81-9b60-c71b9e21a1cb,97b9e4d4-a3d6-4cf5-abaf-8206cd780308,7a08832d-3517-4fe9-9bdb-dac02091ba07,adf005ea-c5cb-4110-81cc-d7e9bbf57b33,AUDIO,3,course
afc11c7e-edd9-4f34-a418-363b57184884,Listen to the audio and repeat the phrase,afcaa6ad-9f36-49d5-96b2-677acdfa99ea,97b9e4d4-a3d6-4cf5-abaf-8206cd780308,7a08832d-3517-4fe9-9bdb-dac02091ba07,12c931dc-9f35-42d2-89f6-06c929d2212b,AUDIO,4,course
33d27706-3c0d-435a-a307-91e7bb588330,"Select the best pronunciation for ""shop"" in patois",f44280fd-5dfb-40eb-b8f3-833d95f3a910,97b9e4d4-a3d6-4cf5-abaf-8206cd780308,7a08832d-3517-4fe9-9bdb-dac02091ba07,62c4c360-f961-4a3d-86c1-3932227b2c8c,AUDIO_OPTIONS,5,course
0b717308-fddb-4f50-a32d-6b1bc63b97da,Listen to the audio and repeat the phrase,e1185ce4-2a9e-4015-b4ab-c205166511f2,97b9e4d4-a3d6-4cf5-abaf-8206cd780308,7a08832d-3517-4fe9-9bdb-dac02091ba07,909d3942-57b3-4a84-a0e1-4b12c2a9990e,AUDIO,6,course
248c9b9b-648d-401a-a7ac-0425703ce1bc,Listen to the audio and repeat the phrase,bf109ad2-f2da-4c57-b32b-81a56583000e,97b9e4d4-a3d6-4cf5-abaf-8206cd780308,7a08832d-3517-4fe9-9bdb-dac02091ba07,80dc27ca-4322-4fc9-a634-a92b3b31a943,AUDIO,7,course
